(4, 512, 512)
Starting random mask  training on 0 using ADAM(sigma=0.1,lr=0.01,decay=0,beta=0)
Noisy PSNR is '22.73454492284599'
1.1.1.weight         | nonzeros =   11519 /   12800             ( 89.99%) | total_pruned =    1281 | shape = torch.Size([16, 32, 5, 5])
epoch:  10000 loss:  0.002585832728073001 PSNR:  21.50078409870913 PSNR_noisy:  25.8739960235811
epoch:  10200 loss:  0.002609398914501071 PSNR:  21.513754386078038 PSNR_noisy:  25.834595449444766
epoch:  10400 loss:  0.0025681096594780684 PSNR:  21.289882092488593 PSNR_noisy:  25.90386465463879
epoch:  10600 loss:  0.002688885433599353 PSNR:  21.2994201684428 PSNR_noisy:  25.704276968422455
epoch:  10800 loss:  0.0025611012242734432 PSNR:  21.302554911736266 PSNR_noisy:  25.915732767231084
epoch:  11000 loss:  0.0025080412160605192 PSNR:  21.228464284448158 PSNR_noisy:  26.00665358168492
epoch:  11200 loss:  0.0025090505369007587 PSNR:  21.30326999237497 PSNR_noisy:  26.004906142235388
epoch:  11400 loss:  0.002525446005165577 PSNR:  21.368312784726857 PSNR_noisy:  25.976619618185318
epoch:  11600 loss:  0.00240747956559062 PSNR:  21.37398187408046 PSNR_noisy:  26.184373909899044
epoch:  11800 loss:  0.0024489634670317173 PSNR:  21.174382804769543 PSNR_noisy:  26.110177403564855
epoch:  12000 loss:  0.002387785352766514 PSNR:  21.392880361335095 PSNR_noisy:  26.22004709955014
epoch:  12200 loss:  0.0023774094879627228 PSNR:  21.25105158543288 PSNR_noisy:  26.238960418137488
epoch:  12400 loss:  0.0023160213604569435 PSNR:  21.35860265025418 PSNR_noisy:  26.35257428957003
epoch:  12600 loss:  0.002379793208092451 PSNR:  21.187884038733436 PSNR_noisy:  26.234608275575553
epoch:  12800 loss:  0.0023185282479971647 PSNR:  21.1770655514519 PSNR_noisy:  26.34787620302489
epoch:  13000 loss:  0.0022572530433535576 PSNR:  21.304731566695807 PSNR_noisy:  26.46419735753718
epoch:  13200 loss:  0.002366350730881095 PSNR:  21.383306720823946 PSNR_noisy:  26.259209318156618
epoch:  13400 loss:  0.002274970291182399 PSNR:  21.278045650393246 PSNR_noisy:  26.430242846405648
epoch:  13600 loss:  0.002282884903252125 PSNR:  21.172127282306242 PSNR_noisy:  26.415159703512344
epoch:  13800 loss:  0.0023021474480628967 PSNR:  21.14797772856271 PSNR_noisy:  26.378668659230115
epoch:  14000 loss:  0.0022309913765639067 PSNR:  21.202454886800616 PSNR_noisy:  26.51502124922567
epoch:  14200 loss:  0.0023559830151498318 PSNR:  21.28332553577514 PSNR_noisy:  26.278278453240446
epoch:  14400 loss:  0.002312525175511837 PSNR:  21.051227120448544 PSNR_noisy:  26.359135150337746
epoch:  14600 loss:  0.0022838048171252012 PSNR:  21.103634543364322 PSNR_noisy:  26.413410536784777
epoch:  14800 loss:  0.0022583906538784504 PSNR:  21.069234679326712 PSNR_noisy:  26.462009750869466
epoch:  15000 loss:  0.002198093105107546 PSNR:  21.21047413525543 PSNR_noisy:  26.579539640363315
epoch:  15200 loss:  0.0021210862323641777 PSNR:  21.149834704856595 PSNR_noisy:  26.73441672728333
epoch:  15400 loss:  0.0021292874589562416 PSNR:  21.192132106005324 PSNR_noisy:  26.717656932251245
epoch:  15600 loss:  0.002070703310891986 PSNR:  21.13628366000932 PSNR_noisy:  26.83882173399015
epoch:  15800 loss:  0.0020829769782721996 PSNR:  21.116714810663062 PSNR_noisy:  26.813155705280867
epoch:  16000 loss:  0.0021410491317510605 PSNR:  21.01112829791959 PSNR_noisy:  26.69373385934509
epoch:  16200 loss:  0.002153946552425623 PSNR:  21.105057713936176 PSNR_noisy:  26.667650751081553
epoch:  16400 loss:  0.00217955419793725 PSNR:  21.06308651551109 PSNR_noisy:  26.616323667364384
epoch:  16600 loss:  0.0020801499485969543 PSNR:  21.04268977693394 PSNR_noisy:  26.819053723770608
epoch:  16800 loss:  0.002152834553271532 PSNR:  21.134270159025018 PSNR_noisy:  26.66989387210382
epoch:  17000 loss:  0.0020911069586873055 PSNR:  20.9607510856598 PSNR_noisy:  26.79623757898529
epoch:  17200 loss:  0.002013574354350567 PSNR:  21.028631017504082 PSNR_noisy:  26.960323440533465
epoch:  17400 loss:  0.00207993621006608 PSNR:  20.91719528072037 PSNR_noisy:  26.819500056288096
epoch:  17600 loss:  0.001995073165744543 PSNR:  21.07081601815021 PSNR_noisy:  27.000411730415763
epoch:  17800 loss:  0.0019965420942753553 PSNR:  21.1403443801826 PSNR_noisy:  26.99721549195029
epoch:  18000 loss:  0.002152580302208662 PSNR:  20.95046042157343 PSNR_noisy:  26.670406293838276
epoch:  18200 loss:  0.001957552507519722 PSNR:  20.991775818285436 PSNR_noisy:  27.082865760516075
epoch:  18400 loss:  0.0019217308145016432 PSNR:  21.019986937349472 PSNR_noisy:  27.163074477125857
epoch:  18600 loss:  0.0020102669950574636 PSNR:  21.09585483373626 PSNR_noisy:  26.96746267577016
epoch:  18800 loss:  0.0021169150713831186 PSNR:  20.91875878547367 PSNR_noisy:  26.7429659475736
epoch:  19000 loss:  0.0020296950824558735 PSNR:  21.15474275349976 PSNR_noisy:  26.925692372927905
epoch:  19200 loss:  0.0020142097491770983 PSNR:  21.16348297847135 PSNR_noisy:  26.95895319574269
epoch:  19400 loss:  0.002004059962928295 PSNR:  20.919738744189292 PSNR_noisy:  26.98089289968909
epoch:  19600 loss:  0.0019101107027381659 PSNR:  21.007342489156777 PSNR_noisy:  27.189414820260687
epoch:  19800 loss:  0.0019664173014461994 PSNR:  21.09567185069176 PSNR_noisy:  27.063243120806302
epoch:  20000 loss:  0.0018932828679680824 PSNR:  21.081966726205774 PSNR_noisy:  27.227844988902405
epoch:  20200 loss:  0.001952041289769113 PSNR:  20.879363051283285 PSNR_noisy:  27.09511002743624
epoch:  20400 loss:  0.0019592070020735264 PSNR:  20.949496477876913 PSNR_noisy:  27.0791969931738
epoch:  20600 loss:  0.0018804334104061127 PSNR:  21.014226135386256 PSNR_noisy:  27.257420333834027
epoch:  20800 loss:  0.002065027132630348 PSNR:  20.89826740464945 PSNR_noisy:  26.85074242331403
epoch:  21000 loss:  0.0019268471514806151 PSNR:  20.929118351792646 PSNR_noisy:  27.151527642725846
epoch:  21200 loss:  0.001976919826120138 PSNR:  20.877236342609446 PSNR_noisy:  27.04010987243151
epoch:  21400 loss:  0.0018808258464559913 PSNR:  20.992987629943546 PSNR_noisy:  27.256514113985215
epoch:  21600 loss:  0.0019049192778766155 PSNR:  21.065485249398854 PSNR_noisy:  27.201234182011397
epoch:  21800 loss:  0.001850842498242855 PSNR:  20.90236292817766 PSNR_noisy:  27.326305323938463
epoch:  22000 loss:  0.0018332870677113533 PSNR:  20.972103308556225 PSNR_noisy:  27.367695238351043
epoch:  22200 loss:  0.001915978966280818 PSNR:  20.987201129201758 PSNR_noisy:  27.176092598631143
epoch:  22400 loss:  0.0018171339761465788 PSNR:  21.052166414558464 PSNR_noisy:  27.406130743730603
epoch:  22600 loss:  0.001796137890778482 PSNR:  20.96548095457875 PSNR_noisy:  27.456603502298762
epoch:  22800 loss:  0.0018414787482470274 PSNR:  21.099863096453117 PSNR_noisy:  27.348333297548667
epoch:  23000 loss:  0.0018025727476924658 PSNR:  20.913608621531704 PSNR_noisy:  27.441072106355776
epoch:  23200 loss:  0.0017881253734230995 PSNR:  21.01383278565743 PSNR_noisy:  27.476020665522313
epoch:  23400 loss:  0.0018921603914350271 PSNR:  20.994986694615303 PSNR_noisy:  27.230421085413646
epoch:  23600 loss:  0.0018492531962692738 PSNR:  20.970089303072648 PSNR_noisy:  27.330036075393647
epoch:  23800 loss:  0.001946276519447565 PSNR:  20.886035731445713 PSNR_noisy:  27.10795460436135
epoch:  24000 loss:  0.001788149937056005 PSNR:  21.04226729516516 PSNR_noisy:  27.475960922908875
epoch:  24200 loss:  0.0017895472701638937 PSNR:  20.82597103116168 PSNR_noisy:  27.472568417860337
epoch:  24400 loss:  0.0018463237211108208 PSNR:  21.019088238804045 PSNR_noisy:  27.336921440153947
epoch:  24600 loss:  0.001756972400471568 PSNR:  20.937340059564697 PSNR_noisy:  27.552350715345042
epoch:  24800 loss:  0.0017436001216992736 PSNR:  20.82415422289389 PSNR_noisy:  27.58553092798301
epoch:  25000 loss:  0.0018334289779886603 PSNR:  20.98191499760606 PSNR_noisy:  27.367359312485465
epoch:  25200 loss:  0.0017376018222421408 PSNR:  21.010706855497663 PSNR_noisy:  27.600497288998692
epoch:  25400 loss:  0.0017391503788530827 PSNR:  20.909957630857697 PSNR_noisy:  27.596628818078738
epoch:  25600 loss:  0.0018341781105846167 PSNR:  20.79481525546172 PSNR_noisy:  27.365585124811798
epoch:  25800 loss:  0.0017462879186496139 PSNR:  20.808742424905144 PSNR_noisy:  27.578841591371503
epoch:  26000 loss:  0.0017211707308888435 PSNR:  20.826134989196646 PSNR_noisy:  27.641760767429403
epoch:  26200 loss:  0.0017957001691684127 PSNR:  21.02024583597786 PSNR_noisy:  27.457661797803212
epoch:  26400 loss:  0.0018045741599053144 PSNR:  20.938324959228698 PSNR_noisy:  27.436252619712516
epoch:  26600 loss:  0.001780613325536251 PSNR:  20.95591302756764 PSNR_noisy:  27.494303673498116
epoch:  26800 loss:  0.001689194468781352 PSNR:  21.02340750216184 PSNR_noisy:  27.723203826699006
epoch:  27000 loss:  0.001747212721966207 PSNR:  20.944603679448615 PSNR_noisy:  27.576542270168908
epoch:  27200 loss:  0.0018852376379072666 PSNR:  20.98282081023325 PSNR_noisy:  27.246339123023407
epoch:  27400 loss:  0.0016608912264928222 PSNR:  20.957541646231856 PSNR_noisy:  27.796588125573063
epoch:  27600 loss:  0.001664571464061737 PSNR:  20.934347860995533 PSNR_noisy:  27.786975546226472
epoch:  27800 loss:  0.001615163404494524 PSNR:  20.939384215546145 PSNR_noisy:  27.917835188066086
epoch:  28000 loss:  0.0017417825292795897 PSNR:  20.95253936062771 PSNR_noisy:  27.59006094703565
epoch:  28200 loss:  0.0016852336702868342 PSNR:  20.805466455410418 PSNR_noisy:  27.73339864625096
epoch:  28400 loss:  0.0017635765252634883 PSNR:  20.981280949207395 PSNR_noisy:  27.536056969198484
epoch:  28600 loss:  0.0015952829271554947 PSNR:  20.92357815702003 PSNR_noisy:  27.971622619306174
epoch:  28800 loss:  0.0016494386363774538 PSNR:  20.93148006103579 PSNR_noisy:  27.826638723552605
epoch:  29000 loss:  0.0017447706777602434 PSNR:  20.980955647277383 PSNR_noisy:  27.582616778838208
epoch:  29200 loss:  0.0017147129401564598 PSNR:  20.884805210580218 PSNR_noisy:  27.658086088732674
epoch:  29400 loss:  0.0016389790689572692 PSNR:  21.003425622022807 PSNR_noisy:  27.854266006789523
epoch:  29600 loss:  0.0016864966601133347 PSNR:  20.956198674661803 PSNR_noisy:  27.730145245684234
epoch:  29800 loss:  0.0016247518360614777 PSNR:  20.901374885992084 PSNR_noisy:  27.892129674384357
epoch:  30000 loss:  0.001582602271810174 PSNR:  20.917076945228786 PSNR_noisy:  28.006282604388126
epoch:  30200 loss:  0.001683030161075294 PSNR:  20.872401374236862 PSNR_noisy:  27.73908111257199
epoch:  30400 loss:  0.0016713505610823631 PSNR:  20.801632524951476 PSNR_noisy:  27.76932463425802
epoch:  30600 loss:  0.001589620835147798 PSNR:  20.873218236723744 PSNR_noisy:  27.987064662848674
epoch:  30800 loss:  0.0015980260213837028 PSNR:  20.824012691521666 PSNR_noisy:  27.964161660122716
epoch:  31000 loss:  0.0016919858753681183 PSNR:  20.973684194971103 PSNR_noisy:  27.716032670322374
epoch:  31200 loss:  0.0016270279884338379 PSNR:  20.908259342286648 PSNR_noisy:  27.886050140446336
epoch:  31400 loss:  0.0015896421391516924 PSNR:  20.830362225358247 PSNR_noisy:  27.987006602977694
epoch:  31600 loss:  0.0016316368710249662 PSNR:  20.965059645386273 PSNR_noisy:  27.87376501445975
epoch:  31800 loss:  0.0015749781159684062 PSNR:  20.887578789190293 PSNR_noisy:  28.027254812553693
epoch:  32000 loss:  0.001639348454773426 PSNR:  20.903440780722633 PSNR_noisy:  27.853287189871295
epoch:  32200 loss:  0.0016880305483937263 PSNR:  20.965808557137294 PSNR_noisy:  27.726197106431027
epoch:  32400 loss:  0.0016056669410318136 PSNR:  20.866624650970195 PSNR_noisy:  27.94344566584308
epoch:  32600 loss:  0.0015836511738598347 PSNR:  20.888909815216124 PSNR_noisy:  28.00340458849457
epoch:  32800 loss:  0.0015432799700647593 PSNR:  20.87028656368304 PSNR_noisy:  28.115553099681385
epoch:  33000 loss:  0.0016296689864248037 PSNR:  20.907239447463276 PSNR_noisy:  27.879006294193207
epoch:  33200 loss:  0.0016398326260969043 PSNR:  20.923623206355852 PSNR_noisy:  27.85200490821989
epoch:  33400 loss:  0.0015754359774291515 PSNR:  20.932967845757517 PSNR_noisy:  28.025992269220342
epoch:  33600 loss:  0.0016991890734061599 PSNR:  20.839434452161527 PSNR_noisy:  27.697582903947126
epoch:  33800 loss:  0.0017324991058558226 PSNR:  20.841881097310676 PSNR_noisy:  27.613270232220522
epoch:  34000 loss:  0.0015649351989850402 PSNR:  20.776250651979428 PSNR_noisy:  28.055036542504727
epoch:  34200 loss:  0.0015588854439556599 PSNR:  20.890119093026808 PSNR_noisy:  28.07185809570029
epoch:  34400 loss:  0.0016360192093998194 PSNR:  20.821255377979494 PSNR_noisy:  27.862116147563043
epoch:  34600 loss:  0.0015384027501568198 PSNR:  20.78550684155969 PSNR_noisy:  28.12929977391926
epoch:  34800 loss:  0.0015789306489750743 PSNR:  20.822680523454494 PSNR_noisy:  28.016369560061246
epoch:  35000 loss:  0.0015259603969752789 PSNR:  20.88904505675559 PSNR_noisy:  28.164567229690952
epoch:  35200 loss:  0.0015586698427796364 PSNR:  20.839076774298388 PSNR_noisy:  28.07245886323235
epoch:  35400 loss:  0.0015149120008572936 PSNR:  20.847862573823956 PSNR_noisy:  28.196126232807597
epoch:  35600 loss:  0.0016655009239912033 PSNR:  20.817902832900312 PSNR_noisy:  27.784551063777037
epoch:  35800 loss:  0.0015390909975394607 PSNR:  20.81888148064026 PSNR_noisy:  28.127357337749842
epoch:  36000 loss:  0.0016302699223160744 PSNR:  20.892899765766437 PSNR_noisy:  27.877404621394977
epoch:  36200 loss:  0.001570437103509903 PSNR:  20.85871824297716 PSNR_noisy:  28.039794808995207
epoch:  36400 loss:  0.0016632652841508389 PSNR:  20.83039674913281 PSNR_noisy:  27.79038468154653
epoch:  36600 loss:  0.0016619088128209114 PSNR:  20.88031193907605 PSNR_noisy:  27.793928352902757
epoch:  36800 loss:  0.0014941643457859755 PSNR:  20.841903700679097 PSNR_noisy:  28.256016958258133
epoch:  37000 loss:  0.0014636166160926223 PSNR:  20.861721501967057 PSNR_noisy:  28.34572710774499
epoch:  37200 loss:  0.0015087223146110773 PSNR:  20.79328501911494 PSNR_noisy:  28.213906917005417
epoch:  37400 loss:  0.0015145661309361458 PSNR:  20.932788787512454 PSNR_noisy:  28.197117731272773
epoch:  37600 loss:  0.0014913234626874328 PSNR:  20.912888005511086 PSNR_noisy:  28.26428156495405
epoch:  37800 loss:  0.0015289548318833113 PSNR:  20.732025187091256 PSNR_noisy:  28.156053662708413
epoch:  38000 loss:  0.0014956531813368201 PSNR:  20.86053506573436 PSNR_noisy:  28.251691402836798
epoch:  38200 loss:  0.001462538493797183 PSNR:  20.800571157975302 PSNR_noisy:  28.34892706495892
epoch:  38400 loss:  0.0016009275568649173 PSNR:  20.851512277321316 PSNR_noisy:  27.95628320772504
epoch:  38600 loss:  0.0014836176997050643 PSNR:  20.76196561226787 PSNR_noisy:  28.28678018962926
epoch:  38800 loss:  0.0015112741384655237 PSNR:  20.854178550677535 PSNR_noisy:  28.206567419673245
epoch:  39000 loss:  0.0014686344657093287 PSNR:  20.766340957451874 PSNR_noisy:  28.33086323706724
epoch:  39200 loss:  0.001507486216723919 PSNR:  20.77405715446229 PSNR_noisy:  28.217465989125145
epoch:  39400 loss:  0.0014982661232352257 PSNR:  20.836463463352544 PSNR_noisy:  28.244110025031798
epoch:  39600 loss:  0.0015155300498008728 PSNR:  20.79229325623694 PSNR_noisy:  28.194354315005565
epoch:  39800 loss:  0.0014928365126252174 PSNR:  20.84727792533695 PSNR_noisy:  28.25987761154703
Output directory: data/denoising/Dataset/mask/0/pai/synflow_local_0.9
PSNR of output image is:  20.53517631129646
(1, 3, 256, 256) (1, 3, 256, 256) (3, 256, 256)
